Name,产业,員工人數,网站,代表人物,總資產,成立,總部
四川长虹电器股份有限公司,军工、家电、数码、通讯、内容提供,在职27580人 离退休3166人 (2006年12月31日),http://cn.changhong.com/,创办人 马璋 前任董事长兼总经理 倪润峰 董事长 赵勇 集团公司总经理 杨学军 股份公司总经理 刘体斌 多媒体产业公司董事长 林茂祥 多媒体产业公司总经理 徐明,,1958年10月 ，​61年前 ​（ 1958-10 ） 1965年3月正式更名长虹,1958年-1997年 中国 四川省 绵阳市 跃进路4号 1997年-至今 中国 四川省 绵阳市 高新区绵兴东路35号
吉祥航空,,,http://www.juneyaoair.com,,,,
Great Wall Motor,汽车制造业,7万,http://www.gwm.com.cn/,魏建军（ 董事长 ）,,1984年 ，​34年前 ​（ 1984 ）,中国 河北省 保定市 长城大街 38°48′55.41″N 115°27′25.59″E ﻿ / ﻿ 38.8153917°N 115.4571083°E ﻿ / 38.8153917; 115.4571083
厦门国际航空港股份有限公司,交通运输,,http://www.xiac.com.cn/,董事长兼总经理：王倜傥,,1996年5月,福建省 厦门市
厦门建发股份有限公司,供应链 运营,,http://www.chinacnd.com/,董事长：吴小敏,,1998年6月10日,福建省 厦门市
中国绍兴黄酒集团有限公司,酿酒 业,4100人,http://www.shaoxingwine.com.cn/,,,1994年（集团） 1997年（股份）,中国 浙江省 绍兴市 北海桥
安徽口子酒业股份有限公司,制造业,,http://www.kouzi.com/,董事长 ： 徐进,,2002年,中国 安徽省 淮北市 相山南路9号
同仁堂,生物醫學,,http://www.tongrentang.com/,樂顯揚 、 樂達聰 、樂松生,,1669年 （ 清 康熙 八年）,中华人民共和国
南京鋼鐵股份,鋼鐵,,http://www.600282.net/,董事長 ：肖同友 副董事長 ： 郭廣昌,,1999年,中國 江蘇 南京
南京银行,金融业,约8000,http://www.njcb.com.cn,董事长： 胡昇荣,,1996年,中国 江蘇省 南京市 中山路288号
华锐风电科技(集团)股份有限公司,风力发电,,http://www.sinovel.com/,,,2004年 ( 2004 ) ( 北京 ),中国 北京
华能澜沧江水电,公用事业,,http://www.hnlcj.cn,袁湘华 （ 董事长 兼 党委书记 ） 杨万华 （副董事长） 李双友 （副董事长） 孙卫 （ 董事 总经理 兼 党委 副书记） 叶才 （ 监事会 主席）,,2001年2月8日 ( 2001-02-08 ),中國云南省昆明市
华能国际电力,电力,,http://www.hpi.com.cn/,董事长 ： 曹培玺,,1994年,中国 北京
华电能源,能源,,http://www.hdenergy.com,董凤亮 （ 董事长 兼 总经理 兼 党委书记 ） 曹晓峰 （ 监事会 主席）,,1993年2月2日 ( 1993-02-02 ),中國黑龍江省哈尔滨市
华泰证券股份有限公司,證券,,http://www.htsc.com.cn/,董事長 ： 吴万善,,1991年4月9日,中国 江苏 南京
华菱星马汽车（集团）股份有限公司,制造业,,http://www.camc.cc/,董事长 ： 刘汉如,,1999年12月12日,中国 安徽省 马鞍山市 雨山区 经济技术开发区
华扬联众数字技术股份有限公司,,,http://www.hylink.com/cn/,,,1994年,北京市 东城区 建国门内大街 7号
華夏銀行股份有限公司,銀行,,http://www.hxb.com.cn,董事長 ： 李民吉 行長 ： 张健华,,1992年,中國 北京市 东城区 建国门内大街22号华夏银行大厦
北京北辰實業股份有限公司,綜合企業,,http://www.beijingns.com.cn/,董事長 ：賀江川,,1997年,中國 北京
别称,石油 ， 天然气 （含 页岩气 ），煤层气及附属能源产业,13863（截至2012年末）,http://www.cnpc.com.cn/cn/,,,1976年,中华人民共和国 河北省 华北油田 地区（单列管辖区）
华安证券股份有限公司,金融业,,http://www.hazq.com/,党委书记、董事长： 章宏韬,,2001年,中华人民共和国 安徽省 合肥市 政务文化新区天鹅湖路198号
北京城建投资发展股份有限公司,,,http://www.bucid.com/,董事長 ：徐贱云,,1998年,中國 北京
华夏幸福基业股份有限公司,地产开发商,,http://www.cfldcn.com,,,,
北京金隅股份有限公司,建築材料,,http://www.bbmg.com.cn/,董事長 ：蔣衛平,,1996年,中國 北京
重庆力帆实业(集团)公司,制造业,"13,653 [1]",http://www.lifan.com/,,,1992年 ，​26年前 ​（ 1992 ）,中国 重庆
北汽福田股份有限公司,汽车,"10,000人",http://www.foton-global.com,,,1997年,中国 北京市 昌平区 沙河地区 沙阳路
凤凰出版传媒集团有限公司,文化产业,,"http://www.ppmg.cn/,http://www.ppm.cn/",,,2001年,中国 江苏省 南京市 鼓楼区 湖南路 1号（集团） 栖霞区 仙新路 98号（股份）
包頭鋼鐵集團公司,鋼鐵,,http://www.btsteel.com/,董事長 ：曹中魁,,1997年,中國 內蒙古 包頭
興業證券股份有限公司,證券,,http://www.xyzq.com.cn/xyzq/index.html,董事長 ：蘭榮,,1991年10月,中國 福建省 福州市
兗州煤業股份有限公司,煤炭,,http://www.yanzhoucoal.com.cn/,李希勇（董事長）,,1997年,中國 山東 邹城 凫山南路298号
安徽六国化工股份有限公司,制造业,4619人 [1],http://www.liuguo.com,董事长 ： 陈嘉生,,2000年12月28日 [1],中华人民共和国 安徽省 铜陵市 铜港路
内蒙古蒙电华能热电,,,http://www.nmhdwz.com,,,1993年,中國内蒙古呼和浩特市
光明乳业股份有限公司,乳品 生产和销售,,http://www.brightdairy.com,董事长 ：濮韶华 总经理 ：（暂缺） 财务总监 ：刘瑞兵,,1949年（名义） 2000年（实际）,中国 上海市 吴中路578号
芜湖伯特利汽车安全系统股份有限公司,汽车零部件,,http://www.btl-auto.com/,董事长 ： 袁永彬,,2004年6月,中国 安徽省 芜湖市 鸠江区 经济技术开发区泰山路19号
光大证券股份有限公司,投資銀行,,http://www.ebscn.com/,,,1996年,中國 上海
安徽全柴动力股份有限公司,制造业,,http://www.quanchai.com.cn/,董事长 ： 谢力,,1998年11月,中国 安徽省 滁州市 全椒县 吴敬梓路788号
安徽众源新材料股份有限公司,有色金属,,http://www.zyxcl.cn/,董事长 ： 封全虎,,2005年,中国 安徽省 芜湖市 鸠江区 经济技术开发区凤鸣湖北路48号
